#W_0n	Temperature centrale	Temperature moyenne
4.52	1.06035e+07	6.88101e+06
4.53	1.06142e+07	6.88951e+06
4.54	1.06249e+07	6.89798e+06
4.55	1.06355e+07	6.90641e+06
4.56	1.06461e+07	6.91481e+06
4.57	1.06567e+07	6.92317e+06
4.58	1.06672e+07	6.9315e+06
4.59	1.06777e+07	6.93979e+06
4.6	1.06881e+07	6.94805e+06
4.61	1.06985e+07	6.95627e+06
4.62	1.07088e+07	6.96445e+06
4.63	1.07191e+07	6.9726e+06
4.64	1.07293e+07	6.98072e+06
4.65	1.07395e+07	6.9888e+06
4.66	1.07497e+07	6.99684e+06
4.67	1.07598e+07	7.00485e+06
4.68	1.07698e+07	7.01282e+06
4.69	1.07798e+07	7.02076e+06
4.7	1.07898e+07	7.02866e+06
4.71	1.07997e+07	7.03652e+06
4.72	1.08096e+07	7.04435e+06
4.73	1.08195e+07	7.05214e+06
4.74	1.08293e+07	7.0599e+06
4.75	1.0839e+07	7.06762e+06
4.76	1.08487e+07	7.07531e+06
4.77	1.08584e+07	7.08295e+06
4.78	1.0868e+07	7.09057e+06
4.79	1.08776e+07	7.09814e+06
4.8	1.08871e+07	7.10568e+06
4.81	1.08966e+07	7.11319e+06
4.82	1.0906e+07	7.12066e+06
4.83	1.09154e+07	7.12809e+06
4.84	1.09248e+07	7.13548e+06
4.85	1.09341e+07	7.14284e+06
4.86	1.09434e+07	7.15016e+06
4.87	1.09526e+07	7.15745e+06
4.88	1.09618e+07	7.1647e+06
4.89	1.0971e+07	7.17191e+06
4.9	1.09801e+07	7.17908e+06
4.91	1.09892e+07	7.18622e+06
4.92	1.09982e+07	7.19332e+06
4.93	1.10072e+07	7.20039e+06
4.94	1.10161e+07	7.20742e+06
4.95	1.1025e+07	7.21441e+06
4.96	1.10339e+07	7.22136e+06
4.97	1.10427e+07	7.22828e+06
4.98	1.10515e+07	7.23516e+06
4.99	1.10602e+07	7.242e+06
5	1.10689e+07	7.24881e+06
5.01	1.10776e+07	7.25558e+06
5.02	1.10862e+07	7.26231e+06
5.03	1.10948e+07	7.269e+06
5.04	1.11033e+07	7.27566e+06
5.05	1.11118e+07	7.28227e+06
5.06	1.11203e+07	7.28886e+06
5.07	1.11287e+07	7.2954e+06
5.08	1.11371e+07	7.3019e+06
5.09	1.11454e+07	7.30837e+06
